series_model,dealer,category,cars,manager,zone,date,month,state,city,qty_sold,sold_price,car_insurance,state_tax,consumer_family_status,consumer_profession,any_other_brand_preferred,year,month_num,total_revenue,total_cost_per_unit,total_cost,net_revenue,price_tier
PRIMUS,NIKE,LUXURY,ALTO,AJAY,NORTH EAST,2019-01-19,Jan,PB,LUDHIYANA,10,249734,27470.74,7492.02,GIFT,BUSINESS,YES,2019,1,2497340,34962.76,349627.60000000003,2147712.4,Budget
PRIMUS,BULWARD,SUPER,ALTO,AJAY,WEST,2018-03-30,Mar,DL,DWARKA,77,222010,10212.46,816.9968,FAMILY,BUSINESS,NO,2018,3,17094770,11029.4568,849268.1736,16245501.8264,Budget
PRIMUS,NIKE,SUPER,ALTO,AJAY,NORTH,2019-05-11,May,AP,HYDERABAD,34,225400,27048.0,2254.0,SINGLE,BUSINESS,YES,2019,5,7663600,29302.0,996268.0,6667332.0,Budget
PRIMUS,NIKE,EXTRA CLASS,ALTO,AJAY,EAST,2019-06-08,Jun,PB,AMR,33,249734,27470.74,7492.02,SINGLE,BUSINESS,YES,2019,6,8241222,34962.76,1153771.08,7087450.92,Budget
PRIMUS,NIKE,LUXURY,ALTO,AJAY,WEST,2019-07-06,Jul,ASM,HOJAI,22,231802,27816.24,2225.2992,SINGLE,BUSINESS,YES,2019,7,5099644,30041.539200000003,660913.8624000001,4438730.1376,Budget
PRIMUS,BULWARD,SUPER,ALTO,AJAY,WEST,2019-09-16,Sep,DL,DWARKA,5,222010,10212.46,816.9968,SPOUSE,BUSINESS,YES,2019,9,1110050,11029.4568,55147.284,1054902.716,Budget
PRIMUS,BULWARD,LUXURY,ALTO,AJAY,WEST,2019-10-28,Oct,RAJ,AJMER,13,214020,4280.4,85.608,FAMILY,BUSINESS,NO,2019,10,2782260,4366.008,56758.104,2725501.896,Budget
PRIMUS,BULWARD,BASIC,ALTO,AJAY,WEST,2019-11-25,Nov,PB,PATIALA,33,249734,27470.74,7492.02,FAMILY,BUSINESS,NO,2019,11,8241222,34962.76,1153771.08,7087450.92,Budget
PRIMUS,BULWARD,SUPER,ALTO,AJAY,SOUTH,2019-12-09,Dec,KEA,KOLLAM,33,227700,36432.0,2277.0,SINGLE,BUSINESS,YES,2019,12,7514100,38709.0,1277397.0,6236703.0,Budget
PRIMUS,BULWARD,SUPER,ALTO,AJAY,WEST,2019-12-23,Dec,RAJ,JODHPUR,44,214020,4280.4,85.608,FAMILY,BUSINESS,YES,2019,12,9416880,4366.008,192104.35199999998,9224775.648,Budget
PRIMUS,NIKE,LUXURY,SANTRO,AJAY,NORTH EAST,2019-01-19,Jan,PB,LUDHIYANA,10,395352,43488.72,11860.56,GIFT,BUSINESS,YES,2019,1,3953520,55349.28,553492.8,3400027.2,Mid-Range
PRIMUS,MITUSHI,SUPER,SANTRO,AJAY,WEST,2019-05-09,May,KEA,KOCHI,33,317700,50832.0,3177.0,SPOUSE,BUSINESS,YES,2019,5,10484100,54009.0,1782297.0,8701803.0,Mid-Range
PRIMUS,AUTOCAT,EXTRA CLASS,SANTRO,AJAY,SOUTH,2019-07-18,Jul,DL,DWARKA,5,312010,14352.46,1148.1968,FAMILY,BUSINESS,NO,2019,7,1560050,15500.656799999999,77503.284,1482546.716,Mid-Range
PRIMUS,AUTOCAT,EXTRA CLASS,SANTRO,AJAY,WEST,2019-08-29,Aug,HR,SONIPAT,32,337290,39125.64,1956.282,SINGLE,BUSINESS,YES,2019,8,10793280,41081.922,1314621.504,9478658.496,Mid-Range
PRIMUS,AUTOCAT,SUPER,SANTRO,AJAY,NORTH,2019-09-12,Sep,PB,LUD,23,395352,43488.72,11860.56,SINGLE,BUSINESS,YES,2019,9,9093096,55349.28,1273033.44,7820062.5600000005,Mid-Range
PRIMUS,AUTOCAT,SUPER,SANTRO,AJAY,WEST,2019-10-24,Oct,HR,KAITHAL,54,337290,39125.64,1956.282,SINGLE,BUSINESS,NO,2019,10,18213660,41081.922,2218423.7879999997,15995236.212000001,Mid-Range
PRIMUS,MITUSHI,SUPER,BEAT,AJAY,SOUTH EAST,2019-01-08,Jan,PB,LUDHIYANA,10,422047,46425.17,12661.41,SINGLE,BUSINESS,YES,2019,1,4220470,59086.58,590865.8,3629604.2,Premium
PRIMUS,MITUSHI,BASIC,BEAT,AJAY,EAST,2019-01-22,Jan,CHD,SECTOR 29,10,442377,30966.39,8847.54,FAMILY,BUSINESS,YES,2019,1,4423770,39813.93,398139.3,4025630.7,Premium
PRIMUS,MITUSHI,BASIC,BEAT,AJAY,WEST,2019-02-26,Feb,PB,AMR,25,422047,46425.17,12661.41,FAMILY,BUSINESS,YES,2019,2,10551175,59086.58,1477164.5,9074010.5,Premium
PRIMUS,MITUSHI,LUXURY,BEAT,AJAY,SOUTH,2019-05-31,May,RAJ,BIKANER,3,334020,6680.4,133.608,FAMILY,BUSINESS,NO,2019,5,1002060,6814.008,20442.023999999998,981617.976,Mid-Range
PRIMUS,MITUSHI,EXTRA CLASS,BEAT,AJAY,NORTH,2019-11-30,Nov,RAJ,JODHPUR,1,334020,6680.4,133.608,FAMILY,BUSINESS,NO,2019,11,334020,6814.008,6814.008,327205.992,Mid-Range
PRIMUS,NIKE,SUPER,US18,AJAY,NORTH,2019-01-19,Jan,HR,KARNAL,10,858644,99602.704,4980.1352,SPOUSE,BUSINESS,YES,2019,1,8586440,104582.8392,1045828.392,7540611.608,Premium
PRIMUS,NIKE,SUPER,US18,AJAY,WEST,2019-03-23,Mar,RAJ,JAIPUR,13,784020,15680.4,313.608,FAMILY,BUSINESS,NO,2019,3,10192260,15994.008,207922.104,9984337.896,Premium
